"Save Visibility Settings","Save Visibility Settings"
"Payment Methods Information","Payment Methods Information"
"Payment Methods","Payment Methods"
Scopes,Scopes
"Current Scope","Current Scope"
"Action for selected groups","Action for selected groups"
Allow,Allow
Deny,Deny
"Payment Methods View","Payment Methods View"
"Shipping Methods Information","Shipping Methods Information"
"Shipping Methods","Shipping Methods"
"Shipping Methods View","Shipping Methods View"
System,System
"Manage Payment Methods Visibility","Manage Payment Methods Visibility"
"Payment Methods Visibility","Payment Methods Visibility"
"You saved the payment methods visibility.","You saved the payment methods visibility."
"Something went wrong while saving the payment methods visibility data. Please review the error log.","Something went wrong while saving the payment methods visibility data. Please review the error log."
"Manage Shipping Methods Visibility","Manage Shipping Methods Visibility"
"Shipping Methods Visibility","Shipping Methods Visibility"
"You saved the shipping methods visibility.","You saved the shipping methods visibility."
"Something went wrong while saving the shipping methods visibility data. Please review the error log.","Something went wrong while saving the shipping methods visibility data. Please review the error log."
