"Edit Deal '%1'","Edit Deal '%1'"
"Create Deal","Create Deal"
"Save and Continue Edit","Save and Continue Edit"
"General Information","General Information"
"Product Id","Product Id"
Product,Product
"Select Product","Select Product"
"Select a product which the deal is applied on","Select a product which the deal is applied on"
SKU,SKU
"Original Price","Original Price"
"Product Qty","Product Qty"
Status,Status
Active,Active
Inactive,Inactive
"Is Featured","Is Featured"
"If yes, this deal will be shown on Feature Deal Slider","If yes, this deal will be shown on Feature Deal Slider"
"Deal Price","Deal Price"
Discount,Discount
"Deal Qty","Deal Qty"
"Qty of sold items","Qty of sold items"
"Store Views","Store Views"
"Start On","Start On"
"Time from","Time from"
"End On","End On"
"Time to","Time to"
General,General
"Deal Information","Deal Information"
"Product ID","Product ID"
Name,Name
Sku,Sku
Quantity,Quantity
Price,Price
"Use the following code to show the daily deal block at any place you want","Use the following code to show the daily deal block at any place you want"
"List of ""type"" attributes available: all, feature, new, upcoming, bestseller, random","List of ""type"" attributes available: all, feature, new, upcoming, bestseller, random"
"All Deals","All Deals"
"Bestseller Deals","Bestseller Deals"
"Featured Deals","Featured Deals"
"New Deals","New Deals"
"DAILY DEAL PRODUCTS","DAILY DEAL PRODUCTS"
Success!,Success!
"An error occurred while running manually. Please try again later. %1","An error occurred while running manually. Please try again later. %1"
"Please enable module!","Please enable module!"
"The Deal has been deleted.","The Deal has been deleted."
"This Deal no longer exists.","This Deal no longer exists."
"Daily Deal","Daily Deal"
"Manage Deals","Manage Deals"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"End on must be greater than start on","End on must be greater than start on"
"The Deal has been saved.","The Deal has been saved."
"Deal qty must be less than or equal to product qty","Deal qty must be less than or equal to product qty"
"Already set Deal for this product.","Already set Deal for this product."
"Something went wrong while saving the Deal. %1","Something went wrong while saving the Deal. %1"
"There are no satisfying products in this category.","There are no satisfying products in this category."
"We can't save the cron expression. %1","We can't save the cron expression. %1"
"Percent price must be between 0 and 100","Percent price must be between 0 and 100"
Simple,Simple
Circle,Circle
Square,Square
Stack,Stack
Modern,Modern
No,No
"Under Price","Under Price"
