"Order Id","Order Id"
"Customer Name","Customer Name"
"Grand Total","Grand Total"
"Created At","Created At"
"Store Id","Store Id"
Status,Status
Back,Back
"Delete DeliveryBoy","Delete DeliveryBoy"
"Save DeliveryBoy","Save DeliveryBoy"
"Invalid Deliveryboy.","Invalid Deliveryboy."
"Review Details","Review Details"
"<a href=""%1"" onclick=""this.target=""blank"""">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target=""blank"""">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
Author,Author
"<a href=""%1"" onclick=""this.target=""blank""""><img src=""%4""/>%2 </a> <a href=""mailto:%3"">(%3)</a>","<a href=""%1"" onclick=""this.target=""blank""""><img src=""%4""/>%2 </a> <a href=""mailto:%3"">(%3)</a>"
"Delivery Boy","Delivery Boy"
"Summary Rating","Summary Rating"
"Summary of Review","Summary of Review"
Review,Review
"Save and Continue Edit","Save and Continue Edit"
"Add Comment to Deliveryboy Order","Add Comment to Deliveryboy Order"
"Assign DeliveryBoy","Assign DeliveryBoy"
"Comment Id","Comment Id"
Comment,Comment
"Date Time","Date Time"
"Commented By","Commented By"
"Deliveryboy Order Comments","Deliveryboy Order Comments"
"Update Review","Update Review"
"Delete Review","Delete Review"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Edit Review '%1'","Edit Review '%1'"
"New Review","New Review"
Subtotal,Subtotal
"Shipping & Handling","Shipping & Handling"
"Discount (%1)","Discount (%1)"
Discount,Discount
"Grand Total to be Charged","Grand Total to be Charged"
"DeliveryBoy Dashboard","DeliveryBoy Dashboard"
"Deliveryboy could not be deleted.","Deliveryboy could not be deleted."
"Deliveryboy has been deleted.","Deliveryboy has been deleted."
"Requested delivery boy doesn't exist","Requested delivery boy doesn't exist"
"Something went wrong while editing the delivery boy.","Something went wrong while editing the delivery boy."
"Edit Item with id %1","Edit Item with id %1"
"New Deliveryboy","New Deliveryboy"
"Deliveryboy Image","Deliveryboy Image"
"Manage Delivery Boy","Manage Delivery Boy"
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"A total of %1 record(s) were disabled.","A total of %1 record(s) were disabled."
"A total of %1 record(s) were enabled.","A total of %1 record(s) were enabled."
"Delivery boy with same email already exist.","Delivery boy with same email already exist."
"Delivery boy with same mobile number already exist.","Delivery boy with same mobile number already exist."
"Delivery boy with same vehicle number already exist.","Delivery boy with same vehicle number already exist."
"You saved the deliveryboy.","You saved the deliveryboy."
"Something went wrong while saving the deliveryboy. %1","Something went wrong while saving the deliveryboy. %1"
"Please upload avatar image.","Please upload avatar image."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Please upload deliveryboy avatar image.","Please upload deliveryboy avatar image."
"Delivery boy name is a required field.","Delivery boy name is a required field."
"Mobile number should be a valid digits.","Mobile number should be a valid digits."
"Mobile number field can not be blank.","Mobile number field can not be blank."
"Password is a required field.","Password is a required field."
"Password confirmation is a required field.","Password confirmation is a required field."
"Password and confirm password should be same.","Password and confirm password should be same."
"invalid request","invalid request"
"see error log for details","see error log for details"
"Service unavailable: %1","Service unavailable: %1"
"Unable to perform the requested operation. The order is in %1 state.","Unable to perform the requested operation. The order is in %1 state."
"Your have received new order to deliver.","Your have received new order to deliver."
"New Order Assigned.","New Order Assigned."
"One order is unassigned form you.","One order is unassigned form you."
"Order UnAssigned.","Order UnAssigned."
"Manage Delivery Boy Orders","Manage Delivery Boy Orders"
"Comment field is required.","Comment field is required."
"Comment should be atleast 5 words.","Comment should be atleast 5 words."
"Rating could not be deleted.","Rating could not be deleted."
"Rating has been deleted.","Rating has been deleted."
"Requested rating doesn't exist","Requested rating doesn't exist"
"Something went wrong while approving rating.","Something went wrong while approving rating."
"Approve Rating ""%1""","Approve Rating ""%1"""
"Manage Deliveryboy Rating","Manage Deliveryboy Rating"
"A total of %1 rating(s) were approved.","A total of %1 rating(s) were approved."
Guest,Guest
"A total of %1 rating(s) were disapproved.","A total of %1 rating(s) were disapproved."
"Rating is updated.","Rating is updated."
"Something went wrong while saving the rating. %1","Something went wrong while saving the rating. %1"
"Invalid order.","Invalid order."
"Invalid deliveryboy order.","Invalid deliveryboy order."
"Comment added successfully.","Comment added successfully."
"Invalid Request","Invalid Request"
"Comment should be at least 5 words.","Comment should be at least 5 words."
"Unauthorized access.","Unauthorized access."
"Order assigned successfully.","Order assigned successfully."
"Invalid Order.","Invalid Order."
"Deliveryboy is offline.","Deliveryboy is offline."
"Sorry this order is not eligible for express delivery.","Sorry this order is not eligible for express delivery."
"One order is unassigned from you.","One order is unassigned from you."
"This Deliveryboy still have pending orders.","This Deliveryboy still have pending orders."
"Deliveryboy deleted successfully.","Deliveryboy deleted successfully."
"Invalid delivery boy.","Invalid delivery boy."
"Review not found","Review not found"
"Review deleted successfully.","Review deleted successfully."
"Review updated successfully.","Review updated successfully."
"Deliveryboy details saved successfully.","Deliveryboy details saved successfully."
"Deliveryboy created successfully.","Deliveryboy created successfully."
"Title is required field.","Title is required field."
"Invalid Rating.","Invalid Rating."
"Thanks for your review, it is submitted for moderation.","Thanks for your review, it is submitted for moderation."
"Request processed successfully.","Request processed successfully."
"Invalid delivery boy order.","Invalid delivery boy order."
Assigned,Assigned
"Delivery Accepted by %1.","Delivery Accepted by %1."
"Delivery Accepted #%1","Delivery Accepted #%1"
"Please check the order status and re-assign to delivery boy.","Please check the order status and re-assign to delivery boy."
"Delivery Declined #%1","Delivery Declined #%1"
"You have successfully accepted the Delivery for order #","You have successfully accepted the Delivery for order #"
"Delivery for order #%1 has been rejected successfully.","Delivery for order #%1 has been rejected successfully."
"Delivery Rejected #%1","Delivery Rejected #%1"
"Invalid Request.","Invalid Request."
"You still have pending orders.","You still have pending orders."
