"Chat History","Chat History"
Back,Back
"Customer Name","Customer Name"
"Chat Status","Chat Status"
Action,Action
"View History","View History"
Online,Online
Offline,Offline
Busy,Busy
Unknown,Unknown
"Assigned Chats","Assigned Chats"
"Agent Name","Agent Name"
"Rating Stars","Rating Stars"
Status,Status
Comment,Comment
Date,Date
Approved,Approved
Disapproved,Disapproved
"Agent Feedbacks","Agent Feedbacks"
"Agent Details","Agent Details"
"Start Server","Start Server"
"Stop Server","Stop Server"
"Agent List","Agent List"
"Assigned Chat","Assigned Chat"
"Agent Ratings","Agent Ratings"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the part finder(s) status.","Something went wrong while updating the part finder(s) status."
"Chat Details","Chat Details"
"Agent details does not exists.","Agent details does not exists."
"Please correct the data sent.","Please correct the data sent."
"We can't assigned the chat.","We can't assigned the chat."
"Status Updated.","Status Updated."
"Page not found.","Page not found."
"Chat History Deleted.","Chat History Deleted."
"Chat history not available.","Chat history not available."
"Chat Reports","Chat Reports"
"Server Running.","Server Running."
"Node path can not be found, make sure Node is installed on this server.","Node path can not be found, make sure Node is installed on this server."
"Node server already running.","Node server already running."
"Login successful.","Login successful."
"Registered successful.","Registered successful."
"There is already an account with this email address.","There is already an account with this email address."
"Image updated successfully.","Image updated successfully."
Support,Support
"Agent with id ""%1"" does not exist.","Agent with id ""%1"" does not exist."
"Agent with unique id ""%1"" does not exist.","Agent with unique id ""%1"" does not exist."
"Could not save the agentRating: %1","Could not save the agentRating: %1"
"AgentRating with id ""%1"" does not exist.","AgentRating with id ""%1"" does not exist."
"Could not delete the AgentRating: %1","Could not delete the AgentRating: %1"
"Customer with id ""%1"" does not exist.","Customer with id ""%1"" does not exist."
"Could not save the report: %1","Could not save the report: %1"
"Report with id ""%1"" does not exist.","Report with id ""%1"" does not exist."
"Could not delete the Report: %1","Could not delete the Report: %1"
